N_Jobs_Total: 2520
Job: 1801, N_Quanta: 2, epsilon: 0.75, NT_per_Second: 25
Job: 1802, N_Quanta: 2, epsilon: 0.75, NT_per_Second: 50
Job: 1803, N_Quanta: 2, epsilon: 0.75, NT_per_Second: 100
Job: 1804, N_Quanta: 2, epsilon: 0.75, NT_per_Second: 200
Job: 1805, N_Quanta: 2, epsilon: 0.75, NT_per_Second: 400
Job: 1806, N_Quanta: 2, epsilon: 0.75, NT_per_Second: 800
Job: 1807, N_Quanta: 4, epsilon: 0.75, NT_per_Second: 25
Job: 1808, N_Quanta: 4, epsilon: 0.75, NT_per_Second: 50
Job: 1809, N_Quanta: 4, epsilon: 0.75, NT_per_Second: 100
Job: 1810, N_Quanta: 4, epsilon: 0.75, NT_per_Second: 200
Job: 1811, N_Quanta: 4, epsilon: 0.75, NT_per_Second: 400
Job: 1812, N_Quanta: 4, epsilon: 0.75, NT_per_Second: 800
Job: 1813, N_Quanta: 6, epsilon: 0.75, NT_per_Second: 25
Job: 1814, N_Quanta: 6, epsilon: 0.75, NT_per_Second: 50
Job: 1815, N_Quanta: 6, epsilon: 0.75, NT_per_Second: 100
Job: 1816, N_Quanta: 6, epsilon: 0.75, NT_per_Second: 200
Job: 1817, N_Quanta: 6, epsilon: 0.75, NT_per_Second: 400
Job: 1818, N_Quanta: 6, epsilon: 0.75, NT_per_Second: 800
Job: 1819, N_Quanta: 8, epsilon: 0.75, NT_per_Second: 25
Job: 1820, N_Quanta: 8, epsilon: 0.75, NT_per_Second: 50
Job: 1821, N_Quanta: 8, epsilon: 0.75, NT_per_Second: 100
Job: 1822, N_Quanta: 8, epsilon: 0.75, NT_per_Second: 200
Job: 1823, N_Quanta: 8, epsilon: 0.75, NT_per_Second: 400
Job: 1824, N_Quanta: 8, epsilon: 0.75, NT_per_Second: 800
Job: 1825, N_Quanta: 10, epsilon: 0.75, NT_per_Second: 25
Job: 1826, N_Quanta: 10, epsilon: 0.75, NT_per_Second: 50
Job: 1827, N_Quanta: 10, epsilon: 0.75, NT_per_Second: 100
Job: 1828, N_Quanta: 10, epsilon: 0.75, NT_per_Second: 200
Job: 1829, N_Quanta: 10, epsilon: 0.75, NT_per_Second: 400
Job: 1830, N_Quanta: 10, epsilon: 0.75, NT_per_Second: 800
Job: 1831, N_Quanta: 12, epsilon: 0.75, NT_per_Second: 25
Job: 1832, N_Quanta: 12, epsilon: 0.75, NT_per_Second: 50
Job: 1833, N_Quanta: 12, epsilon: 0.75, NT_per_Second: 100
Job: 1834, N_Quanta: 12, epsilon: 0.75, NT_per_Second: 200
Job: 1835, N_Quanta: 12, epsilon: 0.75, NT_per_Second: 400
Job: 1836, N_Quanta: 12, epsilon: 0.75, NT_per_Second: 800
Job: 1837, N_Quanta: 14, epsilon: 0.75, NT_per_Second: 25
Job: 1838, N_Quanta: 14, epsilon: 0.75, NT_per_Second: 50
Job: 1839, N_Quanta: 14, epsilon: 0.75, NT_per_Second: 100
Job: 1840, N_Quanta: 14, epsilon: 0.75, NT_per_Second: 200
Job: 1841, N_Quanta: 14, epsilon: 0.75, NT_per_Second: 400
Job: 1842, N_Quanta: 14, epsilon: 0.75, NT_per_Second: 800
Job: 1843, N_Quanta: 16, epsilon: 0.75, NT_per_Second: 25
Job: 1844, N_Quanta: 16, epsilon: 0.75, NT_per_Second: 50
Job: 1845, N_Quanta: 16, epsilon: 0.75, NT_per_Second: 100
Job: 1846, N_Quanta: 16, epsilon: 0.75, NT_per_Second: 200
